City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,76.17,74,100,12.39,PN,1706389875
1,luderitz,-26.6481,15.1594,65.7,89,100,5.59,NA,1706389875
2,oktyabr'skoye,43.0645,44.7417,28.69,100,100,2.24,RU,1706389875
3,padangsidempuan,1.3667,99.2667,71.78,98,100,3.27,ID,1706389876
4,constantia,44.1833,28.65,36.7,76,100,16.22,RO,1706389876
5,port-aux-francais,-49.35,70.2167,46.47,93,91,38.65,TF,1706389876
6,chifeng,42.2683,118.9636,9.5,72,0,5.68,CN,1706389876
7,ribeira brava,32.65,-17.0667,68.0,36,9,3.44,PT,1706389876
8,clinton,42.587,-82.9199,42.06,86,100,6.91,US,1706389768
9,petropavlovsk-kamchatsky,53.0452,158.6483,21.79,86,75,8.95,RU,1706389877
10,utrik,11.2278,169.8474,76.68,62,99,9.62,MH,1706389877
11,mount gambier,-37.8333,140.7667,59.34,93,57,5.5,AU,1706389877
12,ushuaia,-54.8,-68.3,49.66,66,75,20.71,AR,1706389878
13,varna,43.2167,27.9167,38.44,87,20,9.22,BG,1706389658
14,tura,25.5198,90.2201,52.21,63,0,3.29,IN,1706389878
15,verkhniy baskunchak,48.2256,46.7217,24.66,91,100,9.31,RU,1706389879
16,pokhara,28.2333,83.9833,46.45,44,0,4.63,NP,1706389879
17,klyuchi,52.2667,79.1667,12.79,96,99,7.14,RU,1706389879
18,longyearbyen,78.2186,15.6401,21.04,86,100,18.41,SJ,1706389879
19,olonkinbyen,70.9221,-8.7187,25.75,74,100,26.33,SJ,1706389880
20,male,4.1748,73.5089,81.66,68,9,16.35,MV,1706389880
21,bethel,41.3712,-73.414,44.47,74,97,1.7,US,1706389880
22,hermanus,-34.4187,19.2345,73.8,73,100,7.23,ZA,1706389880
23,linqiong,30.4159,103.4609,37.54,74,30,0.54,CN,1706389880
24,avarua,-21.2078,-159.775,86.05,84,76,6.91,CK,1706389881
25,saint-pierre,-21.3393,55.4781,78.48,83,0,12.66,RE,1706389881
26,yangliuqing,39.1375,116.9997,30.15,59,0,5.28,CN,1706389881
27,kresek,-6.1314,106.3797,83.55,84,100,5.32,ID,1706389881
28,safford,32.834,-109.7076,63.52,33,0,17.27,US,1706389881
29,east london,-33.0153,27.9116,72.81,76,5,6.98,ZA,1706389882
30,sambava,-14.2667,50.1667,75.49,91,8,3.98,MG,1706389882
31,taltal,-25.4,-70.4833,71.46,74,24,6.42,CL,1706389882
32,grytviken,-54.2811,-36.5092,40.95,95,99,2.21,GS,1706389882
33,calchaqui,-29.8877,-60.287,84.31,43,0,10.92,AR,1706389882
34,pacific grove,36.6177,-121.9166,69.24,70,0,14.0,US,1706389882
35,geraldton,-28.7667,114.6,63.01,88,0,8.05,AU,1706389588
36,college,64.8569,-147.8028,-34.28,67,75,3.44,US,1706389883
37,waitangi,-43.9535,-176.5597,65.82,94,21,12.62,NZ,1706389725
